osm_node_id,longitude_deg,latitude_deg,projected_x_m,projected_y_m,projected_crs,source_tags_json,road_parent_ways_json,rail_parent_ways_json,model_connection_status
11029639279,73.0786486,18.7953872,297501.80509823735,2079281.9593784148,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187790679}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":658557409}]",native_shared_node_not_transfer_or_conflict_permission
11029669288,73.0904145,18.6164366,298530.41255113855,2059459.9322671762,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187796487}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":700704041}]",native_shared_node_not_transfer_or_conflict_permission
11029722035,73.0927213,18.7561613,298938.8767893703,2074923.9079627239,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187800394}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":658557409}]",native_shared_node_not_transfer_or_conflict_permission
11030054402,73.3996537,19.5977017,332157.2100693949,2167750.344450587,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""track"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187845100}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":400490575}]",native_shared_node_not_transfer_or_conflict_permission
11030054404,73.3994205,19.5976967,332132.7421246145,2167750.020264731,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""track"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187845100}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1187845103}]",native_shared_node_not_transfer_or_conflict_permission
11031780792,73.2885077,18.9251998,319763.97381278663,2093424.2751078354,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188014051}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":810813951}]",native_shared_node_not_transfer_or_conflict_permission
11031798416,73.2874051,18.9240477,319646.5957196892,2093297.879445047,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188014052}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":810813951}]",native_shared_node_not_transfer_or_conflict_permission
11031798417,73.2873303,18.9240477,319638.7166646529,2093297.9558485788,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188014052}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":810813950}]",native_shared_node_not_transfer_or_conflict_permission
11033710412,72.8273071,19.5725162,272075.085481144,2165625.279922871,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188219266}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":698311821}]",native_shared_node_not_transfer_or_conflict_permission
11033797666,73.1105189,18.5975798,300630.16283111926,2057350.1831792647,EPSG:32643,"{""railway"":""level_crossing"",""source"":""maxar""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188230381},{""feature_value"":""track"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188606054}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":700704039},{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188606053}]",native_shared_node_not_transfer_or_conflict_permission
