candidate_id,pattern_id,leg_sequence,path_segment_sequence,osm_way_id,native_segment_index_zero_based,from_osm_node_id,to_osm_node_id,traversal_relative_to_native_order,length_geodesic_m,direction_status,against_preferred_direction,source_way_tags_json,source_route_segment_references_json
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,1,659490441,1,1647133382,1647133412,forward,96.65976882244685,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":1,""source_member_order"":17}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,2,659490441,2,1647133412,1647133437,forward,38.47238854900168,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":2,""source_member_order"":17}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,3,659490443,0,1647133437,1647133459,forward,88.34032837644976,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":3,""source_member_order"":18}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,4,659490443,1,1647133459,6174586978,forward,65.94507428903393,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":4,""source_member_order"":18}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,5,659490443,2,6174586978,1647133498,forward,18.297181119728517,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":5,""source_member_order"":18}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,6,659490443,3,1647133498,6174586977,forward,38.07959247371039,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":6,""source_member_order"":18}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,7,659490445,0,6174586977,1647133546,forward,72.29022712972036,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":7,""source_member_order"":19}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,8,659490445,1,1647133546,1647133572,forward,97.9228758987181,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":8,""source_member_order"":19}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,9,153950466,0,1647133572,1665625828,forward,101.74380019815209,missing_direction_unresolved,False,"{""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":9,""source_member_order"":20}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,10,153950469,0,1665625828,1659457601,forward,318.8898058198765,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":10,""source_member_order"":21}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,11,153236633,0,1659457601,1659457627,forward,182.92236266043574,missing_direction_unresolved,False,"{""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":11,""source_member_order"":22}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,12,1451866244,0,1659457627,1659457646,forward,137.4115278773595,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":12,""source_member_order"":23}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,13,1451866244,1,1659457646,13315691806,forward,77.3133296016591,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":13,""source_member_order"":23}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,14,1451866245,0,13315691806,13315691805,forward,38.05537217729693,missing_direction_unresolved,False,"{""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":14,""source_member_order"":24}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,15,153236635,0,13315691805,1659457692,forward,59.899297003185964,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":15,""source_member_order"":25}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,16,153236635,1,1659457692,1659457717,forward,108.43347245405293,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":16,""source_member_order"":25}]"
96bcc9558b10d4a56225617819aa2a79815fae09ea6992239c1fa20549e9f377,e7a933b3e2d0359793b66cbdbc998559de2a5e6adce89b187516803902954778,1,17,153236635,2,1659457717,1659457732,forward,117.45608962260103,missing_direction_unresolved,False,"{""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""name"":""Trans-Harbour Line"",""passenger_lines"":""2"",""railway"":""rail"",""usage"":""main"",""voltage"":""25000""}","[{""osm_route_relation_id"":""11511942"",""route_segment_index_zero_based"":17,""source_member_order"":25}]"
