source,candidate_id,pattern_id,timetable_services,osm_route_relation_id,station_keys_json,boarding_node_ids_json,route_node_positions_json,leg_lengths_geodesic_m_json,length_geodesic_m,segment_traversals,listed_stop_order_agrees,assigned_nodes_not_listed_in_relation_json,mapped_stops_without_timetable_candidate_json,direction_status_counts_json,against_preferred_direction_segments,status,schedule_export_eligible
derived_boarding_assignment_on_fixed_mapped_chain,d449d8e4bf1acb04f9926ab6ed8475114804b9bc3ae9128226ebc1d46cd54a1a,8611584876f6f25ff61673a701dda375f2e43fee59d148496f8e292434edd157,37,11511951,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_THB_CODE:JNJ"",""CR_THB_CODE:TUH"",""CR_THB_CODE:KPHN"",""CR_THB_CODE:GNSL"",""CR_THB_CODE:RABE"",""CR_THB_CODE:AIRL"",""CR_THB_CODE:DIGH"",""CR_THB_CODE:TNA""]","[7510862052,7818098638,7818067424,7818064488,7818124494,7818030805,7818050100,7817978921,7818206409,7818118170,7818209608,7818144559,7818210886,13032197036,1647133382]","[1,38,57,88,121,158,188,214,240,303,328,369,398,423,470]","[3420.446880430956,1906.4326480439781,2883.2709737845626,2340.5815671920627,2387.312333983669,1424.4165344578832,2479.890468261756,2255.2468753294875,3179.4827528731957,1523.5506949254661,2334.1634047600846,2454.1217479755255,2630.1265326932967,3233.802281989247]",34452.84569670117,469,True,[],[],"{""explicit_oneway"":156,""missing_direction_unresolved"":301,""nonstatic_or_unknown_direction_unresolved"":12}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,adccd7f130f476672d997662e8b2204c0d6517afee0b548e3f9dbb4798776462,87814a3e6c0cf483af3c2c5339bf22aae798cb94cf59861e93fc8be347ca9380,43,11093105,"[""CR_HB_LABEL:bandra"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]","[1233481362,619252274,2444154310,7510862065,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[108,130,155,192,224,237,248,269,283,301,334]","[1682.1658501994418,1542.441989298598,1968.3507347764007,2037.9644353676197,1841.9341437006112,1039.5129988450374,1238.7956285432983,797.1631056792348,1020.3454118247835,1344.549352620056]",14513.223650855081,226,True,[],[],"{""explicit_oneway"":78,""missing_direction_unresolved"":148}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,ca378a0b517e5a2b049dcea5221cd4556a97c9997282311d9c1416611b11ffff,8e49110049efbd4f034fb543ff501ecf1771d11846660392f4e1fab0fcd01bfc,1,9623798,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:bandra"",""CR_HB_LABEL:santacruz"",""CR_HB_LABEL:vileparle"",""CR_HB_LABEL:andheri"",""CR_HB_LABEL:jogeshwari"",""CR_HB_LABEL:ramnagar"",""CR_HB_LABEL:goregaon""]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862067,2444154308,1365560232,1233481375,7510862785,7510862079,7510862070,10879528558,7817991347,9156468960]","[0,44,62,74,97,109,123,153,189,215,236,278,288,307,321,333,346]","[1348.3874797779235,1022.4724225672285,797.8804449153582,1236.320958631916,1041.037560035448,1840.9591389601585,2040.5044693936015,1925.1414108086044,1546.7103893547253,1679.0851776739605,3264.45352366444,1809.3850726714584,2147.0574856875737,2434.5270906033184,1135.5511809147572,1495.6243687680162]",26765.098174428487,346,True,[],[4345706693],"{""explicit_oneway"":90,""missing_direction_unresolved"":256}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,0aa557a7299d7341646d974cb7897a65f55ddd4c8f39613ecafdbef1f1300c9f,95c7ee34c07c62197bdd21432e45cf7687746f3ec151fb050ac9ab37faeaf04d,2,9622461,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR""]","[7510862054,7818098638,7818067424,7818064488,7818124494]","[0,39,58,89,122]","[3423.359446536127,1906.4326480439781,2883.2709737845626,2340.5815671920627]",10553.644635556731,122,True,[],[],"{""explicit_oneway"":69,""missing_direction_unresolved"":43,""nonstatic_or_unknown_direction_unresolved"":10}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,faf74578b68f4de03815852605cab85409ac7b362346b20c407ec61eb6b181af,95c7ee34c07c62197bdd21432e45cf7687746f3ec151fb050ac9ab37faeaf04d,2,11511951,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR""]","[7510862052,7818098638,7818067424,7818064488,7818124494]","[1,38,57,88,121]","[3420.446880430956,1906.4326480439781,2883.2709737845626,2340.5815671920627]",10550.732069451558,120,True,[],[],"{""explicit_oneway"":70,""missing_direction_unresolved"":45,""nonstatic_or_unknown_direction_unresolved"":5}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,760984dc0a1975c524bbd758bf9acc1f67c8b3edba35bc6cc2fcd54782e876c5,9cced40646ed08c358f4c552192cb7c17550b88de847aa4811c7daa29fa7c503,2,9622461,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_HB_LABEL:juinagar"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:vashi""]","[7510862054,7818098638,7818067424,7818064488,7818124494,7818030805,7818050098,7817978923,4822210969,4819972201]","[0,39,58,89,122,159,190,220,252,264]","[3423.359446536127,1906.4326480439781,2883.2709737845626,2340.5815671920627,2387.312333983669,1421.6142339978765,2479.728364314222,1862.8041087982276,1153.2327473506787]",19858.336424001405,264,True,[],[],"{""explicit_oneway"":208,""missing_direction_unresolved"":43,""nonstatic_or_unknown_direction_unresolved"":13}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,1178dbecbf106573fb7d177ae05ed10b08af96c14c7145d4c983bd98ebc466e7,a865828ade152db9dc5c62663edf912627faabf8aa034946763b00af994dca44,43,9623798,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:bandra""]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862067,2444154308,1365560232,1233481375]","[0,44,62,74,97,109,123,153,189,215,236]","[1348.3874797779235,1022.4724225672285,797.8804449153582,1236.320958631916,1041.037560035448,1840.9591389601585,2040.5044693936015,1925.1414108086044,1546.7103893547253,1679.0851776739605]",14478.499452118924,236,True,[],[],"{""explicit_oneway"":90,""missing_direction_unresolved"":146}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,4590b3e4f4cd783bc5d47479825d6f3fc8ede256b255895b98d250f25e4e9bfb,af7cb41dc4f9ec5384f75dd43dff84578515cda9c28efdc4c3862274eced1913,60,11511950,"[""CR_THB_CODE:VSH"",""CR_THB_CODE:SNPD"",""CR_THB_CODE:TUH"",""CR_THB_CODE:KPHN"",""CR_THB_CODE:GNSL"",""CR_THB_CODE:RABE"",""CR_THB_CODE:AIRL"",""CR_THB_CODE:DIGH"",""CR_THB_CODE:TNA""]","[4822210993,1990668445,7818206407,7818118170,7818209608,7818144559,7818210886,13032197036,1647133382]","[5,18,66,131,156,197,226,251,298]","[1163.0315467984121,2019.1273988335306,3178.664974794895,1523.5506949254661,2334.1634047600846,2454.1217479755255,2630.1265326932967,3233.802281989247]",18536.58858277046,293,True,[],[],"{""missing_direction_unresolved"":293}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,ddc022b3a8fb7e7b7e03ba9af81f9510c3a19a5135edc2a9990d33d64ec92b0f,b0124795c53ea0eb43ed9ce4f5c0f87a08a4b19d03b7c7e231248a3b5a4f2baa,34,11511951,"[""CR_THB_CODE:NEU"",""CR_THB_CODE:JNJ"",""CR_THB_CODE:TUH"",""CR_THB_CODE:KPHN"",""CR_THB_CODE:GNSL"",""CR_THB_CODE:RABE"",""CR_THB_CODE:AIRL"",""CR_THB_CODE:DIGH"",""CR_THB_CODE:TNA""]","[7818050100,7817978921,7818206409,7818118170,7818209608,7818144559,7818210886,13032197036,1647133382]","[188,214,240,303,328,369,398,423,470]","[2479.890468261756,2255.2468753294875,3179.4827528731957,1523.5506949254661,2334.1634047600846,2454.1217479755255,2630.1265326932967,3233.802281989247]",20090.38475880806,282,True,[],[],"{""explicit_oneway"":22,""missing_direction_unresolved"":256,""nonstatic_or_unknown_direction_unresolved"":4}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,c763029eb855bc9f125bbadadfcb79a0cb402d028d07286b168c05b26ab27441,b2075f205334f4a657789f4d9a87b01f81215fdef360d3041d2074366d560e0a,32,9622461,"[""CR_HB_LABEL:vashi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]","[4819972201,1366794765,3878560519,1367093081,6171366460,1367093210,7818099445,7818093995,7510862064,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[264,314,342,352,363,383,414,430,476,510,523,534,555,569,587,620]","[7466.497211714411,1911.707650082003,1745.3322778378265,1237.8126320750155,1247.7361695583327,1871.7102923039242,1693.960324244551,2617.689100482345,2037.9547147065268,1841.9341437006112,1039.5129988450374,1238.7956285432983,797.1631056792348,1020.3454118247835,1344.549352620056]",29112.701014217957,356,True,[],[],"{""explicit_oneway"":297,""missing_direction_unresolved"":59}",0,mapped_track_candidate_operating_assignment_unverified,False
