source_id,notice_id,listed_date,listed_valid_until,subject,notice_text,attachment_number,attachment_count,attachment_url,index_source_id,index_source_sha256,source,status
mtp_notice_816961,Notification No 260/DCP/Eastsub/Traff/Temp/2024,30/12/2024,Till Next Order,"Notification No 260 In Sakinaka Traffic Division, M/s. S.P. Singla Construction Company is designing and constructing a flyover bridge and elevated rotary on Mulund-Goregaon Link Road, Mulund (W.), Mumbai.","In Sakinaka Traffic Division, M/s. S.P. Singla Construction Company is designing and constructing a flyover bridge and elevated rotary on Mulund-Goregaon Link Road, Mulund (W.), Mumbai. It is necessary to temporarily close the existing bridge on the Sonapur Junction to Tansa pipeline and divert traffic through another route. However, for the regulation of traffic, the order is given as follows",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816961/202412300000_816961_Notificationno260dcpeastsubtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816956,Notification No 255/DCP/South/Traff/Temp/2024,28/12/2024,Till Next Order,"Notification No 255  Sane Guruji Marg (North Bound), From Chinchpokli Junction to Satrasta Junction will be closed for v̩hiculer movement from 29th December 2024 up to 28th Febuary 2025 for 24.00 hrs.","Sane Guruji Marg (North Bound), From Chinchpokli Junction to Satrasta Junction will be closed for v̩hiculer movement from 29th December 2024 up to 28th Febuary 2025 for 24.00 hrs. Also, the traffic from Satarasta janction to Chinchpokli Junction through North channel should be changed in the opposite direction that is through South Channel and the traffic from Chinchpokli Junction to Satrasta Junction should be diverted via Gangaram Talekar Chowk (S Bridge) right turn Keshavrao Khadye Road to Satrasta Junction. Following traffic advisory is suggested to avoided ostruction & inconvienience to public.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816956/202412280000_816956_Notificationno255dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816955,Notification No 254/DCP/South/Traff/Temp/2024,28/12/2024,Till Next Order,Notification No 254 Traffic Management for New Year Event on 31st December 2024 in Colaba and Marine Drive Traffic Division,"In order to facilitate smooth flow of traffic and to ensure safety of the pedestrian during the New Year Celebrations, certain traffic regulations would be implemented from 15.00 hrs. Of 31 st December, 2024 till 06:00 hrs. Of 1st January, 2025 (Except emergency vehicals like fire brigade, Police, Ambulances etc.). Following directions, containing parking restrictions on roads, road closures, as well as parking arrangements, for the said day, are being made on the below mentioned roads. Following traffic advisory is suggested to avoided obstruction & inconvenience to public.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816955/202412280000_816955_Notificationno254dcpsouthtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816922,Notification No 253/DCP/HQ&Central/Traff/Temp/2024,27/12/2024,Till Next Order,Notification No 253  on 31st December 2024 New Year Celibration at Worli Sea Face Beach,"In view of the expected heavy gathering of citizens at Worli Sea Face Beach to welcome the New Year on 31st December 2024, it has been observed that a large number of vehicles are likely to park on Khan Abdul Gaffar Khan Marg, Dr. Annie Besant Road, and R.G. Thadani Marg, potentially causing severe traffic congestion and inconvenience to the citizens. For that, it is deemed necessary to issue a notification to declare the said area as 'No Parking Zone' temporarily on the said day.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816922/202412270000_816922_Notificationno253dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816889,Notification No 252/DCP/HQ&Central/Traff/Temp/2024,21/12/2024,Till Next Order,"Notification No 252  As celebration is arranged at Bandra Reclamation, K.C. Road and Carter Road on the occasion of New Year,","As celebration is arranged at Bandra Reclamation, K.C. Road and Carter Road on the occasion of New Year, heavy traffic congestion is expected. So it is necessary to do some changes in vehicular traffic to avoid congestion and for smooth flow. Following temporary traffic arrangement will remain in force from 15.00 hrs. dated 22/12/2024 to 05/01/2025 for 24.00 hrs",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816889/202412210000_816889_Notificationno252dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816857,Notification No 251/DCP/Eastsub/Traff/Temp/2024,19/12/2024,Till Next Order,"Notification No 251  In MIDC Traffic Division, there is small bridge on sewer line Nemane Bridge on R.R. Thakur Marg, Jogeshwari East from Maharashtra Chane Shengdane Shop to Vijayalakshmi Saree Shop.","In MIDC Traffic Division, there is small bridge on sewer line Nemane Bridge on R.R. Thakur Marg, Jogeshwari East from Maharashtra Chane Shengdane Shop to Vijayalakshmi Saree Shop. The bridge are dilapidated so it is necessary to temporarily close the bridge for their reconstruction. So, to regulate the traffic following order are being issued.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816857/202412190000_816857_Notificationno251dcpeastsubtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816856,Notification No 250/DCP/Eastsub/Traff/Temp/2024,19/12/2024,Till Next Order,"Notification No 250  In Ghatkopar Traffic Division due to unauthorized parking of the road at Sagar Park Road, Amritnagar Circle, Ghatkopar, Mumbai, the said road as a no parking zone.","In Ghatkopar Traffic Division due to the large number of rickshaws, four-wheelers, tempos and unauthorized parking near the divider on both sides of the road at Sagar Park Road, Amritnagar Circle, Ghatkopar, Mumbai, the traffic on the said road is obstructed to a large extent and traffic jams occur. Also, since it is obstructing essential service vehicles, it is necessary to declare the said road as a no parking zone. However, the order is as follows.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816856/202412190000_816856_Notificationno250dcpeastsubtrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816823,Notification No 249/DCP/Westsub/Traff/Temp/2024,19/12/2024,Till Next Order,Notification No 249  Road cement concretization of service road below the Mrinaltai Gore Bridge will be carried out 20/12/2024 to 9/03/2025 in the jurisdiction of Goregaon Traffic Division.,"Road cement concretization of service road below the Mrinaltai Gore Bridge will be carried out 20/12/2024 to 9/03/2025 in the jurisdiction of Goregaon Traffic Division. Therefore, from the point of public safety view and in order to properly regulate the traffic in the said area, traffic restrictions have been imposed as follows",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816823/202412190000_816823_Notificationno249dcpwestsubtraffTemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816790,Notification No 246/DCP/HQ&Central/Traff/Temp/2024,18/12/2024,Till Next Order,Notification No 246  There installation of the 1800 mm diameter water pipeline and the construction of a cement concrete road on Ganpatrao Kadam Marg from Shriram Mill Junction to Yadav Junction,"There installation of the 1800 mm diameter water pipeline and the construction of a cement concrete road on Ganpatrao Kadam Marg from Shriram Mill Junction to Yadav Junction by the Executive Engineer (Road) City, B.M.C., Mumbai. The traffic on Ganpatrao Kadam Marg has been temporarily closed. To ensure smooth traffic flow and minimize inconvenience of public, vehicles are being diverted. A necessary temporary order has been issued to implement traffic management measures during this period.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816790/202412180000_816790_Notificationno246dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_816791,Notification No 247/DCP/HQ&Central/Traff/Temp/2024,18/12/2024,Till Next Order,Notification No 247  There installation of the 900 mm diameter water pipeline and the construction of a dabarisation of S.S. Amrutwar Marg from Shriram Mill Junction to Hanuman Lane,"There installation of the 900 mm diameter water pipeline and the construction of a dabarisation of S.S. Amrutwar Marg from Shriram Mill Junction to Hanuman Lane by the Executive Engineer (Road) City, B.M.C., Mumbai. The traffic on S. S. Amrutwar Marg has been temporarily closed. To ensure smooth traffic flow and minimize inconvenience of public, vehicles are being diverted. A necessary temporary order has been issued to implement traffic management measures during this period",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/816791/202412180000_816791_Notificationno247dcphq%26Centraltrafftemp2024.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
