operator_name,source_row_serial,financial_year,metric,value_as_printed,numeric_value,unit,reported_status,source,source_id,source_sha256,source_page_1_based,model_ready,geography_scope
Navi Mumbai MT,48,2020-21,average_fleet_operated,213,213,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Navi Mumbai MT,48,2019-20,average_fleet_operated,328,328,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Navi Mumbai MT,48,2021-22,fleet_utilisation,79.94,79.94,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Navi Mumbai MT,48,2020-21,fleet_utilisation,95.09,95.09,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Navi Mumbai MT,48,2019-20,fleet_utilisation,87.47,87.47,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2021-22,average_fleet_held,466,466,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2020-21,average_fleet_held,517,517,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2019-20,average_fleet_held,517,517,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2021-22,average_fleet_operated,227,227,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2020-21,average_fleet_operated,156,156,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2019-20,average_fleet_operated,274,274,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2021-22,fleet_utilisation,48.71,48.71,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2020-21,fleet_utilisation,30.17,30.17,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Thane MT,51,2019-20,fleet_utilisation,53.00,53.00,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2021-22,average_fleet_held,141,141,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2020-21,average_fleet_held,141,141,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2019-20,average_fleet_held,141,141,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2021-22,average_fleet_operated,39,39,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2020-21,average_fleet_operated,33,33,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2019-20,average_fleet_operated,65,65,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2021-22,fleet_utilisation,27.66,27.66,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2020-21,fleet_utilisation,23.40,23.40,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
Kalyan Dombivali MT,52,2019-20,fleet_utilisation,46.10,46.10,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
