source_id,source_sha256,source,model_ready,status,source_row_sequence,source_serial_raw,route_label_raw,route_name_raw,day_type_raw,buses_count,is_subtotal
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,8,7,7 AC New Bus Route,"Maxx Mall , Bhayandar (W) to Andheri Station (E)",Saturday,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,8,7,7 AC New Bus Route,"Maxx Mall , Bhayandar (W) to Andheri Station (E)",Sundays and public holidays,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,9,8,10,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Monday.to.Friday.,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,9,8,10,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Saturday,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,9,8,10,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Sundays and public holidays,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,10,9,10 AC,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Monday.to.Friday.,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,10,9,10 AC,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Saturday,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,10,9,10 AC,Bhayandar Station (W) to Thane Station (E) (Kopri) via WEH Majiwada,Sundays and public holidays,1,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,11,10,12 new bus routes,Bhayandar Station (East) to Western Hotel via Indralok Mangal Nagar,Monday.to.Friday.,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,11,10,12 new bus routes,Bhayandar Station (East) to Western Hotel via Indralok Mangal Nagar,Saturday,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,11,10,12 new bus routes,Bhayandar Station (East) to Western Hotel via Indralok Mangal Nagar,Sundays and public holidays,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,12,11,14,"Bhayandar Station (East) to National Park via Kashmira , Borivali Station (East)",Monday.to.Friday.,10,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,12,11,14,"Bhayandar Station (East) to National Park via Kashmira , Borivali Station (East)",Saturday,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,12,11,14,"Bhayandar Station (East) to National Park via Kashmira , Borivali Station (East)",Sundays and public holidays,6,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,13,12,15,"Mira Road Station (East) to Ghodbunder Bus Depot (Via S.K. Stone Beverly Park , Cinemax)",Monday.to.Friday.,4,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,13,12,15,"Mira Road Station (East) to Ghodbunder Bus Depot (Via S.K. Stone Beverly Park , Cinemax)",Saturday,4,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,13,12,15,"Mira Road Station (East) to Ghodbunder Bus Depot (Via S.K. Stone Beverly Park , Cinemax)",Sundays and public holidays,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,14,13,16,"Mira Road Station (East) to Tiwari College (Via S.K. Stone , Beverly Park , Cinemax)",Monday.to.Friday.,4,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,14,13,16,"Mira Road Station (East) to Tiwari College (Via S.K. Stone , Beverly Park , Cinemax)",Saturday,4,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,14,13,16,"Mira Road Station (East) to Tiwari College (Via S.K. Stone , Beverly Park , Cinemax)",Sundays and public holidays,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,15,14,17 new bus routes,Mira Road Station (East) to Vinay Nagar (Via J.P. Garden City Om Money Tower) Pleasant Park,Monday.to.Friday.,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,15,14,17 new bus routes,Mira Road Station (East) to Vinay Nagar (Via J.P. Garden City Om Money Tower) Pleasant Park,Saturday,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,15,14,17 new bus routes,Mira Road Station (East) to Vinay Nagar (Via J.P. Garden City Om Money Tower) Pleasant Park,Sundays and public holidays,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,16,15,18,Weston Park to Jogeshwari Sthanak (W),Monday.to.Friday.,1,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,16,15,18,Weston Park to Jogeshwari Sthanak (W),Saturday,1,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,16,15,18,Weston Park to Jogeshwari Sthanak (W),Sundays and public holidays,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,17,16,21,Mira Road Station (East) to KD Empire (Via Rasaj Theatre Bharti Park Shivar Garden),Monday.to.Friday.,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,17,16,21,Mira Road Station (East) to KD Empire (Via Rasaj Theatre Bharti Park Shivar Garden),Saturday,3,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,17,16,21,Mira Road Station (East) to KD Empire (Via Rasaj Theatre Bharti Park Shivar Garden),Sundays and public holidays,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,18,17,22,Mira Road Station (East) to Ghodbunder Village,Monday.to.Friday.,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,18,17,22,Mira Road Station (East) to Ghodbunder Village,Saturday,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,18,17,22,Mira Road Station (East) to Ghodbunder Village,Sundays and public holidays,1,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,19,18,24,Mira Road Station (East) to Western Park,Monday.to.Friday.,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,19,18,24,Mira Road Station (East) to Western Park,Saturday,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,19,18,24,Mira Road Station (East) to Western Park,Sundays and public holidays,6,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,20,19,28 new bus routes,Mira Road Station (East) to Andheri Station (East),Monday.to.Friday.,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,20,19,28 new bus routes,Mira Road Station (East) to Andheri Station (East),Saturday,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,20,19,28 new bus routes,Mira Road Station (East) to Andheri Station (East),Sundays and public holidays,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,21,20,28AC new bus route,Mira Road Station (East) to Andheri Station (East),Monday.to.Friday.,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,21,20,28AC new bus route,Mira Road Station (East) to Andheri Station (East),Saturday,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,21,20,28AC new bus route,Mira Road Station (East) to Andheri Station (East),Sundays and public holidays,0,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,22,21,29,Mira Road Station (East) to Kopri Thane (East),Monday.to.Friday.,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,22,21,29,Mira Road Station (East) to Kopri Thane (East),Saturday,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,22,21,29,Mira Road Station (East) to Kopri Thane (East),Sundays and public holidays,7,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,23,22,29 AC,Mira Road Station (East) to Kopri Thane (East),Monday.to.Friday.,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,23,22,29 AC,Mira Road Station (East) to Kopri Thane (East),Saturday,2,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,23,22,29 AC,Mira Road Station (East) to Kopri Thane (East),Sundays and public holidays,1,False
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,24,Total,,,Monday.to.Friday.,70,True
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,24,Total,,,Saturday,67,True
mbmt_operator_profile,296701daaa7ac699030e7049ff9163077fc2783529e654d4fef8f94ab81fc4af,undated_municipal_operator_profile,False,reference_date_and_current_operation_unverified,24,Total,,,Sundays and public holidays,57,True
