source,source_id,source_sha256,publication_edition,status,source_pdf_page,source_table,provider,reference_date_as_printed,averaging_period,average_vehicles_on_road_per_day_count,average_passengers_per_day_lakh,average_effective_km_per_day_lakh,missing_value_marker
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Kalyan-Dombivli Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,61,0.42,0.10,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Mira-Bhayander Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,77,0.82,0.15,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Mira-Bhayander Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,91,0.89,0.18,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Amravati Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,12,0.13,0.01,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Amravati Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,17,0.13,0.02,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Khopoli Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,5,0.02,0.01,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Khopoli Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,5,0.02,0.01,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Latur Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,16,0.12,0.03,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Latur Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,15,0.13,0.03,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Ahilyanagar Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,15,0.07,0.03,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Ahilyanagar Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,15,0.06,0.03,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Nashik Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,244,0.66,0.45,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Nashik Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,245,0.66,0.47,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Ulhasnagar Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,,,,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Ulhasnagar Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,7,0.05,0.01,-
