state_code,district_code,area_name,residence,age_years_or_band,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,520,District - Raigarh (24),Rural,34,20901,10683,10218,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2515,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,34,16332,8365,7967,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2515,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,35,62622,31017,31605,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2516,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,35,38977,19019,19958,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2516,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,35,23645,11998,11647,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2516,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,36,39626,20208,19418,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2517,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,36,23325,11801,11524,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2517,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,36,16301,8407,7894,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2517,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,37,31245,15937,15308,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2518,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,37,17760,8982,8778,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2518,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,37,13485,6955,6530,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2518,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,38,39979,19846,20133,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2519,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,38,23512,11512,12000,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2519,2011,historical_control_not_current_demand
