postcode,vehicle_type,vehicles,postal_area_share_inside
2292,Non-freight-carrying vehicles,15,1.0
2292,Passenger vehicles,2460,1.0
2293,Campervans,24,1.0
2293,Heavy rigid trucks,34,1.0
2293,Light buses,6,1.0
2293,Light commercial vehicles,704,1.0
2293,Light rigid trucks,42,1.0
2293,Motorcycles,154,1.0
2293,Non-freight-carrying vehicles,0,1.0
2293,Passenger vehicles,2528,1.0
2294,Articulated trucks,26,1.0
2294,Campervans,21,1.0
2294,Heavy buses,0,1.0
2294,Heavy rigid trucks,34,1.0
2294,Light buses,9,1.0
2294,Light commercial vehicles,450,1.0
2294,Light rigid trucks,57,1.0
2294,Motorcycles,115,1.0
2294,Non-freight-carrying vehicles,7,1.0
2294,Passenger vehicles,1280,1.0
2295,Articulated trucks,0,1.0
2295,Campervans,63,1.0
2295,Heavy buses,0,1.0
2295,Heavy rigid trucks,34,1.0
2295,Light buses,8,1.0
2295,Light commercial vehicles,1086,1.0
2295,Light rigid trucks,44,1.0
2295,Motorcycles,336,1.0
2295,Non-freight-carrying vehicles,3,1.0
2295,Passenger vehicles,4679,1.0
2296,Campervans,11,1.0
2296,Heavy rigid trucks,6,1.0
2296,Light buses,14,1.0
2296,Light commercial vehicles,277,1.0
2296,Light rigid trucks,24,1.0
2296,Motorcycles,276,1.0
2296,Passenger vehicles,1392,1.0
2297,Campervans,14,1.0
2297,Heavy buses,3,1.0
2297,Heavy rigid trucks,17,1.0
2297,Light buses,3,1.0
2297,Light commercial vehicles,325,1.0
2297,Light rigid trucks,21,1.0
2297,Motorcycles,74,1.0
2297,Non-freight-carrying vehicles,3,1.0
2297,Passenger vehicles,1183,1.0
2298,Articulated trucks,0,1.0
2298,Campervans,44,1.0
2298,Heavy buses,17,1.0
2298,Heavy rigid trucks,30,1.0
2298,Light buses,20,1.0
2298,Light commercial vehicles,966,1.0
2298,Light rigid trucks,44,1.0
2298,Motorcycles,371,1.0
2298,Non-freight-carrying vehicles,0,1.0
2298,Passenger vehicles,5438,1.0
2299,Articulated trucks,3,1.0
2299,Campervans,48,1.0
2299,Heavy buses,3,1.0
2299,Heavy rigid trucks,62,1.0
2299,Light buses,6,1.0
2299,Light commercial vehicles,1216,1.0
2299,Light rigid trucks,76,1.0
2299,Motorcycles,397,1.0
2299,Non-freight-carrying vehicles,0,1.0
2299,Passenger vehicles,6979,1.0
2300,Articulated trucks,3,1.0
2300,Campervans,83,1.0
2300,Heavy buses,5,1.0
2300,Heavy rigid trucks,189,1.0
2300,Light buses,59,1.0
2300,Light commercial vehicles,1449,1.0
2300,Light rigid trucks,97,1.0
2300,Motorcycles,535,1.0
2300,Non-freight-carrying vehicles,5,1.0
2300,Passenger vehicles,8331,1.0
2302,Articulated trucks,0,1.0
2302,Campervans,7,1.0
2302,Heavy buses,0,1.0
2302,Heavy rigid trucks,7,1.0
2302,Light buses,3,1.0
2302,Light commercial vehicles,176,1.0
2302,Light rigid trucks,10,1.0
2302,Motorcycles,62,1.0
2302,Passenger vehicles,1031,1.0
2303,Articulated trucks,22,1.0
2303,Campervans,60,1.0
2303,Heavy buses,195,1.0
2303,Heavy rigid trucks,24,1.0
2303,Light buses,9,1.0
2303,Light commercial vehicles,1332,1.0
2303,Light rigid trucks,52,1.0
2303,Motorcycles,329,1.0
2303,Non-freight-carrying vehicles,0,1.0
2303,Passenger vehicles,6547,1.0
2304,Articulated trucks,70,1.0
2304,Campervans,73,1.0
2304,Heavy buses,11,1.0
2304,Heavy rigid trucks,309,1.0
2304,Light buses,44,1.0
2304,Light commercial vehicles,3261,1.0
2304,Light rigid trucks,307,1.0
2304,Motorcycles,606,1.0
2304,Non-freight-carrying vehicles,21,1.0
2304,Passenger vehicles,9711,1.0
2305,Articulated trucks,0,1.0
2305,Campervans,53,1.0
2305,Heavy buses,11,1.0
2305,Heavy rigid trucks,34,1.0
2305,Light buses,12,1.0
2305,Light commercial vehicles,1360,1.0
2305,Light rigid trucks,72,1.0
2305,Motorcycles,476,1.0
2305,Non-freight-carrying vehicles,0,1.0
2305,Passenger vehicles,9091,1.0
2306,Campervans,7,1.0
2306,Light buses,3,1.0
2306,Light commercial vehicles,263,1.0
2306,Light rigid trucks,6,1.0
2306,Motorcycles,124,1.0
2306,Passenger vehicles,1488,1.0
2307,Campervans,19,1.0
2307,Heavy buses,3,1.0
2307,Heavy rigid trucks,11,1.0
2307,Light buses,5,1.0
2307,Light commercial vehicles,504,1.0
2307,Light rigid trucks,19,1.0
2307,Motorcycles,162,1.0
2307,Passenger vehicles,2788,1.0
2308,Heavy buses,3,1.0
2308,Light buses,0,1.0
2308,Light commercial vehicles,21,1.0
2308,Light rigid trucks,6,1.0
2308,Motorcycles,5,1.0
2308,Passenger vehicles,139,1.0
2315,Articulated trucks,5,1.0
2315,Campervans,122,1.0
2315,Heavy buses,9,1.0
2315,Heavy rigid trucks,63,1.0
2315,Light buses,19,1.0
2315,Light commercial vehicles,2032,1.0
2315,Light rigid trucks,75,1.0
2315,Motorcycles,598,1.0
2315,Non-freight-carrying vehicles,5,1.0
2315,Passenger vehicles,9864,1.0
2316,Articulated trucks,4,1.0
2316,Campervans,60,1.0
2316,Heavy buses,115,1.0
2316,Heavy rigid trucks,90,1.0
2316,Light buses,14,1.0
2316,Light commercial vehicles,1360,1.0
2316,Light rigid trucks,97,1.0
2316,Motorcycles,328,1.0
2316,Non-freight-carrying vehicles,3,1.0
2316,Passenger vehicles,4349,1.0
2317,Articulated trucks,3,1.0
2317,Campervans,64,1.0
2317,Heavy buses,3,1.0
2317,Heavy rigid trucks,55,1.0
2317,Light buses,9,1.0
2317,Light commercial vehicles,1027,1.0
2317,Light rigid trucks,48,1.0
2317,Motorcycles,264,1.0
2317,Non-freight-carrying vehicles,5,1.0
2317,Passenger vehicles,4382,1.0
2318,Articulated trucks,52,1.0
2318,Campervans,112,1.0
2318,Heavy buses,34,1.0
2318,Heavy rigid trucks,224,1.0
2318,Light buses,27,1.0
2318,Light commercial vehicles,2861,1.0
2318,Light rigid trucks,202,1.0
2318,Motorcycles,1000,1.0
2318,Non-freight-carrying vehicles,6,1.0
2318,Passenger vehicles,9198,1.0
2319,Articulated trucks,0,1.0
2319,Campervans,74,1.0
2319,Heavy rigid trucks,21,1.0
2319,Light buses,8,1.0
2319,Light commercial vehicles,1204,1.0
2319,Light rigid trucks,36,1.0
2319,Motorcycles,370,1.0
2319,Passenger vehicles,4220,1.0
2320,Articulated trucks,203,0.8997
2320,Campervans,175,0.8997
2320,Heavy buses,37,0.8997
2320,Heavy rigid trucks,677,0.8997
2320,Light buses,109,0.8997
2320,Light commercial vehicles,8868,0.8997
2320,Light rigid trucks,444,0.8997
2320,Motorcycles,2207,0.8997
2320,Non-freight-carrying vehicles,32,0.8997
2320,Passenger vehicles,25212,0.8997
2322,Articulated trucks,508,1.0
2322,Campervans,97,1.0
2322,Heavy buses,26,1.0
2322,Heavy rigid trucks,960,1.0
2322,Light buses,65,1.0
2322,Light commercial vehicles,6874,1.0
2322,Light rigid trucks,579,1.0
2322,Motorcycles,1308,1.0
2322,Non-freight-carrying vehicles,95,1.0
2322,Passenger vehicles,16416,1.0
2323,Articulated trucks,19,1.0
2323,Campervans,128,1.0
2323,Heavy buses,23,1.0
2323,Heavy rigid trucks,175,1.0
2323,Light buses,36,1.0
2323,Light commercial vehicles,3953,1.0
2323,Light rigid trucks,167,1.0
2323,Motorcycles,1244,1.0
2323,Non-freight-carrying vehicles,9,1.0
2323,Passenger vehicles,16124,1.0
2324,Articulated trucks,172,0.5168
2324,Campervans,225,0.5168
2324,Heavy buses,9,0.5168
2324,Heavy rigid trucks,482,0.5168
2324,Light buses,41,0.5168
2324,Light commercial vehicles,5227,0.5168
2324,Light rigid trucks,275,0.5168
2324,Motorcycles,1419,0.5168
2324,Non-freight-carrying vehicles,14,0.5168
2324,Passenger vehicles,15568,0.5168
2325,Articulated trucks,41,0.9227
2325,Campervans,153,0.9227
2325,Heavy buses,44,0.9227
2325,Heavy rigid trucks,331,0.9227
2325,Light buses,67,0.9227
2325,Light commercial vehicles,6450,0.9227
2325,Light rigid trucks,276,0.9227
2325,Motorcycles,2010,0.9227
2325,Non-freight-carrying vehicles,15,0.9227
2325,Passenger vehicles,17920,0.9227
2326,Articulated trucks,22,1.0
2326,Campervans,56,1.0
2326,Heavy rigid trucks,121,1.0
2326,Light buses,16,1.0
2326,Light commercial vehicles,1814,1.0
2326,Light rigid trucks,92,1.0
2326,Motorcycles,625,1.0
2326,Non-freight-carrying vehicles,0,1.0
2326,Passenger vehicles,4524,1.0
2327,Articulated trucks,31,1.0
2327,Campervans,41,1.0
2327,Heavy buses,3,1.0
2327,Heavy rigid trucks,208,1.0
2327,Light buses,14,1.0
2327,Light commercial vehicles,1562,1.0
2327,Light rigid trucks,61,1.0
2327,Motorcycles,511,1.0
2327,Non-freight-carrying vehicles,6,1.0
2327,Passenger vehicles,4552,1.0
2334,Articulated trucks,8,1.0
2334,Campervans,13,1.0
2334,Heavy buses,3,1.0
2334,Heavy rigid trucks,38,1.0
2334,Light buses,12,1.0
2334,Light commercial vehicles,850,1.0
2334,Light rigid trucks,35,1.0
2334,Motorcycles,294,1.0
2334,Non-freight-carrying vehicles,0,1.0
2334,Passenger vehicles,2075,1.0
