location_id,purpose,geography_id,x_m,y_m,source
osm_node_10036691169,work,27:519:99999:802794:0836:000000,270311.71806061966,2104499.5944244917,OSM_point_location_not_capacity
osm_node_10036691169,shopping,27:519:99999:802794:0836:000000,270311.71806061966,2104499.5944244917,OSM_point_location_not_capacity
osm_node_10036691171,social,27:519:99999:802794:0836:000000,270166.09046994743,2104958.0826462447,OSM_point_location_not_capacity
osm_node_10042422219,work,,289133.23894144985,2118020.2890158566,OSM_point_location_not_capacity
osm_node_10042422221,social,,290318.5831513413,2112520.7233380666,OSM_point_location_not_capacity
osm_node_10044086761,work,,372726.08858002425,2051721.9416834959,OSM_point_location_not_capacity
osm_node_10044086761,leisure,,372726.08858002425,2051721.9416834959,OSM_point_location_not_capacity
osm_node_10044086762,work,,372725.2567296551,2051715.9380292227,OSM_point_location_not_capacity
osm_node_10044086762,leisure,,372725.2567296551,2051715.9380292227,OSM_point_location_not_capacity
osm_node_10047670763,work,,289640.9317642256,2118393.3312274986,OSM_point_location_not_capacity
osm_node_10047670764,work,,289601.9885586969,2119040.5997458673,OSM_point_location_not_capacity
osm_node_10048557343,work,27:518:99999:802794:2079:000000,279833.3316238832,2108920.08101383,OSM_point_location_not_capacity
osm_node_10048557343,shopping,27:518:99999:802794:2079:000000,279833.3316238832,2108920.08101383,OSM_point_location_not_capacity
osm_node_10048580302,work,,291175.86772218486,2103690.690852701,OSM_point_location_not_capacity
osm_node_10048580302,shopping,,291175.86772218486,2103690.690852701,OSM_point_location_not_capacity
osm_node_10048587859,leisure,27:518:99999:802794:2180:000000,283932.00833212934,2105540.9953663177,OSM_point_location_not_capacity
osm_node_10048588852,social,27:519:99999:802794:0732:000000,274936.1460784804,2106928.9573946344,OSM_point_location_not_capacity
osm_node_10048595319,work,27:519:99999:802794:0732:000000,274792.36646473245,2105197.529291072,OSM_point_location_not_capacity
osm_node_10048595319,education,27:519:99999:802794:0732:000000,274792.36646473245,2105197.529291072,OSM_point_location_not_capacity
osm_node_10048595530,work,27:518:99999:802794:2079:000000,280142.2178658156,2108841.439148013,OSM_point_location_not_capacity
osm_node_10048595530,shopping,27:518:99999:802794:2079:000000,280142.2178658156,2108841.439148013,OSM_point_location_not_capacity
osm_node_10049044827,work,,369633.25401746447,2206598.6434356906,OSM_point_location_not_capacity
osm_node_10049044827,shopping,,369633.25401746447,2206598.6434356906,OSM_point_location_not_capacity
osm_node_10049107085,work,,288853.35358413635,2119574.662653503,OSM_point_location_not_capacity
osm_node_10049107086,work,,288893.8174329805,2119584.571447758,OSM_point_location_not_capacity
osm_node_10049107087,work,,288721.1171490452,2119855.017014428,OSM_point_location_not_capacity
osm_node_10049391878,work,,346215.6690644206,2204767.2856777846,OSM_point_location_not_capacity
osm_node_10050111556,social,,346318.45039720775,2204405.818034858,OSM_point_location_not_capacity
osm_node_10050183817,work,27:518:99999:802794:1460:000000,273234.2217619674,2119959.1003273884,OSM_point_location_not_capacity
osm_node_10050827222,work,,361933.03253931564,2208811.668564068,OSM_point_location_not_capacity
osm_node_10050827222,leisure,,361933.03253931564,2208811.668564068,OSM_point_location_not_capacity
osm_node_10050836330,leisure,,361926.9855598643,2208877.089156196,OSM_point_location_not_capacity
osm_node_10051753161,work,,346230.4962331371,2204724.6377761946,OSM_point_location_not_capacity
osm_node_10051753161,shopping,,346230.4962331371,2204724.6377761946,OSM_point_location_not_capacity
osm_node_10051753200,work,,346274.7825772694,2204332.376694776,OSM_point_location_not_capacity
osm_node_10051753200,shopping,,346274.7825772694,2204332.376694776,OSM_point_location_not_capacity
osm_node_10051753213,work,,346214.10039065196,2204731.5557335173,OSM_point_location_not_capacity
osm_node_10051753213,leisure,,346214.10039065196,2204731.5557335173,OSM_point_location_not_capacity
osm_node_10059081542,work,,368435.31302335067,2056012.467441721,OSM_point_location_not_capacity
osm_node_10059081542,leisure,,368435.31302335067,2056012.467441721,OSM_point_location_not_capacity
osm_node_10060203055,work,,369591.76733716833,2056731.9263786613,OSM_point_location_not_capacity
osm_node_10060308569,work,,369840.23900191736,2056451.06730269,OSM_point_location_not_capacity
osm_node_10060308569,shopping,,369840.23900191736,2056451.06730269,OSM_point_location_not_capacity
osm_node_10060308570,work,,369851.84471438616,2056452.2824367865,OSM_point_location_not_capacity
osm_node_10060308570,leisure,,369851.84471438616,2056452.2824367865,OSM_point_location_not_capacity
osm_node_10060338009,social,,369702.3562726133,2047130.6419063208,OSM_point_location_not_capacity
osm_node_10063036405,work,,369813.49834844534,2056455.6444958951,OSM_point_location_not_capacity
osm_node_10063036405,shopping,,369813.49834844534,2056455.6444958951,OSM_point_location_not_capacity
osm_node_10063036406,work,,369809.6020311753,2056456.8332795412,OSM_point_location_not_capacity
osm_node_10063036406,shopping,,369809.6020311753,2056456.8332795412,OSM_point_location_not_capacity
osm_node_10063036407,work,,369818.36191716767,2056457.0055192276,OSM_point_location_not_capacity
osm_node_10063036407,leisure,,369818.36191716767,2056457.0055192276,OSM_point_location_not_capacity
osm_node_10065053572,work,,370178.6746428845,2056499.0673896535,OSM_point_location_not_capacity
osm_node_10065053572,shopping,,370178.6746428845,2056499.0673896535,OSM_point_location_not_capacity
osm_node_10074514808,work,,369575.76979775925,2056633.7956642886,OSM_point_location_not_capacity
osm_node_10074514808,shopping,,369575.76979775925,2056633.7956642886,OSM_point_location_not_capacity
osm_node_10074531931,work,,369575.7982025821,2056637.9234192928,OSM_point_location_not_capacity
osm_node_10074531931,shopping,,369575.7982025821,2056637.9234192928,OSM_point_location_not_capacity
osm_node_10074934329,work,27:518:99999:802794:1561:000000,266930.8663784282,2119913.1707061892,OSM_point_location_not_capacity
osm_node_10074934329,leisure,27:518:99999:802794:1561:000000,266930.8663784282,2119913.1707061892,OSM_point_location_not_capacity
osm_node_10074934331,work,27:518:99999:802794:1561:000000,266947.2294153817,2119892.4551530373,OSM_point_location_not_capacity
osm_node_10074934332,work,,333918.2621386259,2055440.8209844106,OSM_point_location_not_capacity
osm_node_10075819650,work,,369515.71415368706,2056486.4992077255,OSM_point_location_not_capacity
osm_node_10075819650,leisure,,369515.71415368706,2056486.4992077255,OSM_point_location_not_capacity
